Knife,6,90
Cheese,6,10
Butter,5,90
Pickle,5,60
Pickle,6,50
Jam,2,70
Soap,5,60
Soap,5,70
Cheese,6,50
Butter,6,100
Juice,9,30
Juice,5,10
Soap,7,80
Banana,5,60
Juice,9,50
Jam,4,50
Pickle,6,10
Knife,3,90
Jam,3,20
Knife,9,70
Cheese,6,70
Butter,2,60
Juice,2,70
Cheese,3,100
Bread,7,10
Butter,3,90
Pickle,9,100
Knife,7,60
Butter,7,60
Jam,5,10
Banana,7,40
Pickle,6,70
Apple,7,40
Cheese,3,40
Juice,6,20
Jam,5,20
Jam,5,40
Juice,6,50
Cheese,2,30
Knife,4,60
Soap,7,70
Jam,5,10
Juice,2,80
Juice,6,20
Jam,6,70
Banana,6,60
Butter,3,40
Jam,2,80
Juice,2,40
Soap,3,10
Cheese,9,40
Cheese,6,20
Cheese,6,100
Juice,9,90
Jam,7,100
Knife,5,100
Soap,4,70
Soap,3,100
Jam,7,50
Jam,4,80
Knife,2,30
Soap,4,70
Jam,7,90
Butter,6,90
Banana,4,90
Banana,6,30
Apple,6,30
Juice,6,90
Butter,9,20
Cheese,6,60
Cheese,2,40
Bread,6,30
Pickle,5,60
Bread,2,10
Butter,6,10
Apple,7,100
Jam,2,70
Soap,9,50
Knife,7,100
Bread,4,80
Butter,7,20
Banana,6,50
Soap,7,30
Banana,6,50
Jam,2,10
Butter,6,90
Butter,5,50
Soap,7,60
Bread,6,80
Banana,2,50
Pickle,3,90
Cheese,7,30
Bread,7,40
Jam,7,100
Juice,5,90
Juice,6,30
Juice,7,10
Soap,2,20
Juice,6,10
Banana,4,50
Banana,3,30
